playerID,yearID,teamID,G,AB,R,H,Doubles,Triples,HR,RBI,SB,SO,Walks HBP,AVG,OBP,SLG,OPS
hamiljo03,2011,TEX,121,487,80,145,31,5,25,94,8,93,54,0.298,0.409,0.536,0.945
markani01,2012,BAL,104,420,59,125,28,3,13,54,1,51,49,0.298,0.414,0.471,0.886
markani01,2010,BAL,160,629,79,187,45,3,12,60,7,93,84,0.297,0.431,0.436,0.866
freesda01,2011,SLN,97,333,41,99,16,1,10,55,1,75,28,0.297,0.381,0.441,0.823
vanslsc01,2014,LAN,98,212,32,63,13,1,11,29,4,71,32,0.297,0.448,0.524,0.972
hosmeer01,2015,KCA,158,599,98,178,33,5,18,93,7,108,70,0.297,0.414,0.459,0.873
scutama01,2013,SFN,127,488,57,145,23,3,2,31,2,34,47,0.297,0.393,0.369,0.762
hernara02,2010,CIN,97,313,30,93,18,1,7,48,0,49,35,0.297,0.409,0.428,0.837
betemwi01,2010,KCA,84,276,36,82,20,0,13,43,0,74,39,0.297,0.438,0.511,0.949
kendrho01,2013,LAA,122,478,55,142,21,4,13,54,6,89,34,0.297,0.368,0.439,0.808
herreod01,2015,PHI,147,495,64,147,30,3,8,41,16,129,36,0.297,0.370,0.418,0.788
lemahdj01,2012,COL,81,229,26,68,12,4,2,22,1,42,17,0.297,0.371,0.410,0.782
cruzlu01,2012,LAN,78,283,26,84,20,0,6,40,2,34,12,0.297,0.339,0.431,0.770
donaljo02,2015,TOR,158,620,122,184,41,2,41,123,6,133,79,0.297,0.424,0.568,0.992
jeterde01,2011,NYA,131,546,84,162,24,4,6,61,16,81,52,0.297,0.392,0.388,0.780
jayjo02,2011,SLN,159,455,56,135,24,2,10,37,6,81,36,0.297,0.376,0.424,0.800
kinslia01,2015,DET,154,624,94,185,35,7,11,73,10,80,46,0.296,0.370,0.428,0.798
carpmi01,2013,BOS,86,216,34,64,18,2,9,43,1,67,24,0.296,0.407,0.523,0.931
murphda07,2015,CLE,84,206,22,61,12,1,5,27,0,29,18,0.296,0.383,0.437,0.820
rogerja02,2015,MIL,86,152,22,45,6,2,4,16,0,34,17,0.296,0.408,0.441,0.849
